Culture,Criticality,Criticality Modifier,Initial Known,InterDependency,Dynamism,Size,Plan,Team Size,Cost-,Score:,Completion+,Idle-
0.0,1.0,2.0,1.0,88.0,8.0,0.0,0.0,11.0,114.0,0.960195089,0.695652174,0.0
0.0,1.0,5.0,1.0,94.0,7.0,1.0,2.0,11.0,525.0,0.933642967,0.806451613,0.074074074
0.0,1.0,6.0,1.0,91.0,1.0,1.0,1.0,13.0,677.0,0.940158786,0.913043478,0.596153846
0.0,1.0,4.0,1.0,94.0,3.0,0.0,1.0,18.0,181.0,0.912604969,0.888888889,0.0
0.0,1.0,4.0,1.0,99.0,4.0,1.0,4.0,18.0,398.0,0.94221617,0.965517241,0.066666667
0.0,1.0,4.0,1.0,83.0,8.0,1.0,2.0,14.0,310.0,0.955196064,0.357798165,0.0
0.0,1.0,3.0,1.0,99.0,2.0,1.0,3.0,15.0,324.0,0.977072838,0.925,0.097560976
0.0,1.0,4.0,1.0,83.0,7.0,1.0,0.0,19.0,474.0,0.932955642,0.967741935,0.0625
0.0,1.0,2.0,1.0,96.0,1.0,0.0,0.0,17.0,101.0,0.86533077,1.0,0.428571429
0.0,1.0,5.0,1.0,87.0,2.0,1.0,3.0,10.0,564.0,0.988390965,0.878787879,0.0
0.0,1.0,5.0,1.0,90.0,8.0,1.0,1.0,17.0,563.0,0.892612299,0.885714286,0.279069767
0.0,1.0,5.0,1.0,94.0,5.0,0.0,1.0,11.0,415.0,0.916289769,0.888888889,0.384615385
0.0,1.0,4.0,1.0,87.0,2.0,0.0,0.0,13.0,217.0,0.978158801,0.909090909,0.375
0.0,1.0,7.0,1.0,96.0,5.0,0.0,0.0,16.0,356.0,0.866652015,1.0,0.428571429
0.0,1.0,7.0,1.0,80.0,4.0,0.0,2.0,16.0,484.0,0.936451135,0.933333333,0.44
0.0,1.0,4.0,1.0,80.0,4.0,1.0,1.0,10.0,477.0,0.935286211,0.921052632,0.363636364
0.0,1.0,6.0,1.0,95.0,3.0,1.0,2.0,11.0,817.0,0.893636561,0.928571429,0.4
0.0,1.0,4.0,1.0,94.0,9.0,1.0,3.0,12.0,441.0,0.787852617,0.844155844,0.261363636
0.0,1.0,4.0,1.0,95.0,1.0,0.0,3.0,14.0,235.0,0.931515693,1.0,0.631578947
0.0,1.0,5.0,1.0,83.0,1.0,1.0,2.0,11.0,534.0,0.972122036,0.71875,0.0
0.0,1.0,2.0,1.0,83.0,7.0,1.0,3.0,19.0,257.0,0.864857465,0.935483871,0.42
0.0,1.0,4.0,1.0,82.0,2.0,1.0,1.0,14.0,306.0,0.985871888,0.779661017,0.0
0.0,1.0,3.0,1.0,93.0,1.0,1.0,2.0,15.0,292.0,0.93161063,0.923076923,0.47826087
0.0,1.0,2.0,1.0,80.0,8.0,1.0,0.0,16.0,184.0,0.885328291,0.955555556,0.218181818
0.0,1.0,5.0,1.0,87.0,8.0,1.0,3.0,12.0,545.0,0.886070712,0.916666667,0.301587302
0.0,1.0,6.0,1.0,94.0,3.0,0.0,3.0,16.0,379.0,0.948958636,0.875,0.0
0.0,1.0,2.0,1.0,99.0,8.0,0.0,4.0,17.0,134.0,0.922740364,0.916666667,0.153846154
0.0,1.0,5.0,1.0,83.0,7.0,0.0,0.0,11.0,314.0,0.953019747,1.0,0.0
0.0,1.0,7.0,1.0,95.0,1.0,0.0,4.0,14.0,306.0,0.962131624,0.9375,0.0625
0.0,1.0,3.0,1.0,98.0,9.0,1.0,2.0,13.0,367.0,0.832016241,0.894736842,0.423728814
0.0,1.0,2.0,1.0,80.0,7.0,1.0,1.0,11.0,144.0,0.850665731,0.931034483,0.443298969
0.0,1.0,7.0,1.0,94.0,7.0,0.0,1.0,19.0,432.0,0.963348476,0.666666667,0.0
0.0,1.0,2.0,1.0,86.0,4.0,0.0,2.0,13.0,130.0,0.94748592,0.933333333,0.481481481
0.0,1.0,7.0,1.0,85.0,2.0,1.0,3.0,18.0,948.0,0.835853564,0.958333333,0.372727273
0.0,1.0,6.0,1.0,87.0,5.0,1.0,1.0,18.0,811.0,0.917377449,0.891304348,0.316666667
0.0,1.0,5.0,1.0,99.0,7.0,0.0,3.0,17.0,509.0,0.938293222,0.769230769,0.0
0.0,1.0,6.0,1.0,94.0,1.0,0.0,4.0,12.0,424.0,0.935221099,0.85,0.227272727
0.0,1.0,4.0,1.0,81.0,9.0,0.0,2.0,17.0,236.0,0.95077574,0.833333333,0.0
0.0,1.0,7.0,1.0,86.0,4.0,0.0,2.0,13.0,415.0,0.934981366,0.9,0.55
0.0,1.0,7.0,1.0,80.0,9.0,0.0,4.0,12.0,564.0,0.897135263,0.9,0.181818182
0.0,1.0,6.0,1.0,86.0,9.0,0.0,2.0,12.0,251.0,0.872069494,1.0,0.181818182
0.0,1.0,6.0,1.0,95.0,1.0,1.0,2.0,16.0,484.0,0.9577635786,0.966101695,0.185714286
0.0,1.0,6.0,1.0,83.0,1.0,1.0,1.0,16.0,733.0,0.920392806,0.891304348,0.572916667
0.0,1.0,2.0,1.0,93.0,4.0,0.0,2.0,18.0,130.0,0.991940228,0.875,0.0
0.0,1.0,3.0,1.0,82.0,5.0,0.0,1.0,18.0,227.0,0.919775211,0.904761905,0.321428571
0.0,1.0,4.0,1.0,91.0,9.0,1.0,2.0,17.0,405.0,0.925963527,0.704545455,0.0
0.0,1.0,7.0,1.0,96.0,4.0,0.0,2.0,10.0,360.0,0.885233157,0.818181818,0.181818182
0.0,1.0,4.0,1.0,87.0,6.0,1.0,2.0,14.0,413.0,0.935782555,0.853658537,0.078947368
0.0,1.0,6.0,1.0,88.0,5.0,0.0,4.0,12.0,413.0,0.956878767,0.5,0.0
0.0,1.0,5.0,1.0,90.0,6.0,1.0,2.0,16.0,394.0,0.891258944,0.956521739,0.405405405
0.0,1.0,5.0,1.0,89.0,9.0,1.0,4.0,16.0,367.0,0.938469151,0.630769231,0.0
0.0,1.0,4.0,1.0,89.0,5.0,0.0,2.0,18.0,42.0,0.85593369,0.285714286,0.0
0.0,1.0,6.0,1.0,83.0,8.0,0.0,3.0,15.0,505.0,0.951940999,1.0,0.222222222
0.0,1.0,2.0,1.0,92.0,1.0,0.0,1.0,17.0,144.0,0.950451294,0.923076923,0.5
0.0,1.0,7.0,1.0,94.0,8.0,0.0,3.0,15.0,533.0,0.901902438,0.913043478,0.3
0.0,1.0,5.0,1.0,95.0,3.0,1.0,4.0,16.0,614.0,0.921466693,0.935483871,0.452830189
0.0,1.0,3.0,1.0,93.0,6.0,0.0,3.0,14.0,186.0,0.971998457,0.863636364,0.208333333
0.0,1.0,6.0,1.0,86.0,7.0,0.0,0.0,12.0,273.0,0.910225718,0.9,0.181818182
0.0,1.0,3.0,1.0,86.0,9.0,0.0,0.0,13.0,295.0,1.0,0.25,0.0
0.0,1.0,5.0,1.0,89.0,9.0,0.0,1.0,13.0,489.0,0.876141882,1.0,0.421052632
0.0,1.0,2.0,1.0,86.0,5.0,1.0,1.0,11.0,195.0,0.9543213963999999,0.918032787,0.5
0.0,1.0,2.0,1.0,91.0,9.0,1.0,3.0,19.0,246.0,0.787911379,0.854166667,0.517647059
0.0,1.0,7.0,1.0,88.0,3.0,1.0,1.0,16.0,838.0,0.878548775,0.833333333,0.453125
0.0,1.0,7.0,1.0,90.0,6.0,0.0,4.0,11.0,723.0,0.942725256,0.916666667,0.352941176
0.0,1.0,7.0,1.0,89.0,6.0,0.0,0.0,18.0,631.0,0.908336274,1.0,0.384615385
0.0,1.0,7.0,1.0,89.0,1.0,0.0,1.0,11.0,588.0,0.936788241,0.9,0.571428571
0.0,1.0,6.0,1.0,91.0,7.0,1.0,3.0,12.0,518.0,0.947064954,0.796875,0.177419355
0.0,1.0,7.0,1.0,86.0,3.0,0.0,0.0,19.0,621.0,0.957738983,0.736842105,0.0
0.0,1.0,3.0,1.0,88.0,7.0,1.0,3.0,10.0,289.0,0.902791395,0.930555556,0.220930233
0.0,1.0,3.0,1.0,82.0,5.0,1.0,4.0,19.0,249.0,0.958709634,0.814814815,0.0
0.0,1.0,4.0,1.0,96.0,3.0,1.0,2.0,12.0,249.0,0.912486516,0.857142857,0.538461538
0.0,1.0,2.0,1.0,84.0,4.0,0.0,0.0,15.0,102.0,0.960716463,0.923076923,0.454545455
0.0,1.0,3.0,1.0,81.0,1.0,0.0,1.0,13.0,186.0,0.943609896,0.909090909,0.444444444
0.0,1.0,6.0,1.0,89.0,9.0,1.0,3.0,15.0,430.0,0.836627405,0.886792453,0.381578947
0.0,1.0,4.0,1.0,82.0,4.0,0.0,2.0,14.0,221.0,0.994556414,0.3,0.0
0.0,1.0,5.0,1.0,86.0,4.0,1.0,1.0,19.0,344.0,0.953123023,0.955555556,0.594339623
0.0,1.0,4.0,1.0,91.0,8.0,1.0,2.0,11.0,354.0,0.870423941,0.87755102,0.218181818
0.0,1.0,3.0,1.0,93.0,5.0,0.0,2.0,10.0,141.0,0.945625616,0.875,0.0
0.0,1.0,7.0,1.0,84.0,8.0,1.0,0.0,15.0,887.0,0.914236127,0.869565217,0.069767442
0.0,1.0,4.0,1.0,86.0,9.0,0.0,3.0,17.0,240.0,0.904516418,0.75,0.0
0.0,1.0,7.0,1.0,85.0,6.0,1.0,2.0,19.0,856.0,0.930341414,0.906976744,0.093023256
0.0,1.0,4.0,1.0,95.0,9.0,1.0,2.0,10.0,427.0,0.869368789,0.933333333,0.391304348
0.0,1.0,2.0,1.0,91.0,4.0,1.0,1.0,14.0,191.0,0.9342316012000002,0.8,0.0
0.0,1.0,4.0,1.0,89.0,9.0,0.0,0.0,16.0,228.0,0.817301614,0.909090909,0.166666667
0.0,1.0,2.0,1.0,98.0,8.0,1.0,3.0,16.0,211.0,0.955104307,0.884615385,0.148148148
0.0,1.0,4.0,1.0,92.0,3.0,0.0,2.0,14.0,228.0,0.943946503,0.875,0.0
0.0,1.0,2.0,1.0,84.0,4.0,1.0,3.0,17.0,200.0,0.949976157,1.0,0.5625
0.0,1.0,6.0,1.0,94.0,5.0,1.0,2.0,19.0,543.0,0.962854321,0.790697674,0.0
0.0,1.0,3.0,1.0,82.0,3.0,1.0,0.0,15.0,301.0,0.9139919,1.0,0.404494382
0.0,1.0,3.0,1.0,95.0,8.0,0.0,3.0,15.0,264.0,0.941626352,0.416666667,0.0
0.0,1.0,7.0,1.0,86.0,2.0,0.0,2.0,14.0,196.0,0.950626433,0.9,0.307692308
0.0,1.0,4.0,1.0,85.0,1.0,1.0,2.0,17.0,272.0,0.969121069,0.783783784,0.0
0.0,1.0,2.0,1.0,91.0,8.0,0.0,3.0,18.0,89.0,0.903471742,0.8,0.111111111
0.0,1.0,2.0,1.0,85.0,1.0,0.0,4.0,13.0,73.0,0.928227931,1.0,0.333333333
0.0,1.0,5.0,1.0,97.0,1.0,1.0,4.0,19.0,717.0,0.916199306,0.959183673,0.287878788
0.0,1.0,7.0,1.0,88.0,5.0,1.0,1.0,10.0,706.0,0.90590764,0.972972973,0.368421053
0.0,1.0,7.0,1.0,98.0,2.0,1.0,2.0,11.0,835.0,0.984094797,0.756097561,0.0
0.0,1.0,7.0,1.0,81.0,4.0,1.0,3.0,11.0,537.0,0.941091143,0.931034483,0.470588235
0.0,1.0,4.0,1.0,98.0,2.0,1.0,1.0,16.0,281.0,0.9581722643999999,0.893333333,0.373831776
0.0,1.0,5.0,1.0,89.0,4.0,0.0,4.0,17.0,522.0,0.927019207,0.8,0.0
0.0,1.0,2.0,1.0,89.0,6.0,0.0,3.0,10.0,177.0,0.870191376,1.0,0.5
0.0,1.0,4.0,1.0,81.0,8.0,1.0,2.0,10.0,345.0,0.933702573,0.84375,0.495327103
0.0,1.0,7.0,1.0,83.0,9.0,1.0,4.0,15.0,1000.0,0.831139537,0.96875,0.425925926
0.0,1.0,7.0,1.0,97.0,6.0,0.0,4.0,16.0,491.0,0.938825109,0.85,0.0
0.0,1.0,2.0,1.0,85.0,2.0,1.0,3.0,16.0,194.0,0.949184121,0.964285714,0.46
0.0,1.0,5.0,1.0,97.0,6.0,0.0,4.0,15.0,305.0,0.96415021,0.722222222,0.0
0.0,1.0,4.0,1.0,97.0,5.0,1.0,4.0,13.0,365.0,0.960665895,0.384615385,0.0
0.0,1.0,6.0,1.0,87.0,8.0,1.0,1.0,15.0,727.0,0.871924061,0.935897436,0.324074074
0.0,1.0,3.0,1.0,92.0,7.0,0.0,3.0,14.0,234.0,0.960432306,0.857142857,0.142857143
0.0,1.0,3.0,1.0,99.0,2.0,0.0,3.0,11.0,175.0,0.975093534,0.875,0.416666667
0.0,1.0,3.0,1.0,90.0,6.0,0.0,3.0,11.0,179.0,0.96337258,0.818181818,0.181818182
0.0,1.0,5.0,1.0,99.0,5.0,1.0,3.0,19.0,602.0,0.931112887,0.8,0.052631579
0.0,1.0,2.0,1.0,93.0,6.0,0.0,0.0,16.0,114.0,0.873648112,0.9,0.526315789
0.0,1.0,5.0,1.0,91.0,1.0,0.0,1.0,16.0,319.0,0.970750345,0.916666667,0.3125
0.0,1.0,3.0,1.0,93.0,2.0,1.0,2.0,16.0,244.0,0.967687891,0.910447761,0.37755102
0.0,1.0,5.0,1.0,93.0,9.0,0.0,4.0,16.0,370.0,0.928860557,1.0,0.3
0.0,1.0,6.0,1.0,88.0,1.0,1.0,4.0,14.0,429.0,0.975308977,0.8125,0.071428571
0.0,1.0,4.0,1.0,81.0,3.0,0.0,4.0,10.0,234.0,0.966652283,0.736842105,0.0
0.0,1.0,2.0,1.0,96.0,3.0,1.0,1.0,14.0,214.0,0.918002671,0.971428571,0.534246575
0.0,1.0,3.0,1.0,83.0,5.0,0.0,4.0,16.0,209.0,0.899999266,1.0,0.416666667
0.0,1.0,6.0,1.0,81.0,6.0,1.0,3.0,14.0,485.0,0.895113677,0.945945946,0.485294118
0.0,1.0,4.0,1.0,96.0,3.0,1.0,1.0,14.0,317.0,0.907534114,0.971428571,0.595238095
0.0,1.0,5.0,1.0,88.0,6.0,0.0,4.0,10.0,256.0,0.9181536454,0.4,0.0
0.0,1.0,3.0,1.0,90.0,4.0,1.0,4.0,13.0,283.0,0.937805362,0.833333333,0.386792453
0.0,1.0,3.0,1.0,82.0,5.0,0.0,0.0,11.0,214.0,0.952678617,1.0,0.384615385
0.0,1.0,6.0,1.0,83.0,3.0,0.0,4.0,17.0,268.0,0.884601962,0.916666667,0.52173913
0.0,1.0,3.0,1.0,91.0,7.0,1.0,0.0,12.0,232.0,0.873480256,0.947368421,0.162790698
0.0,1.0,7.0,1.0,90.0,6.0,0.0,2.0,13.0,493.0,0.92050953,0.857142857,0.6
0.0,1.0,5.0,1.0,82.0,9.0,0.0,0.0,16.0,215.0,0.858174281,1.0,0.55
0.0,1.0,7.0,1.0,92.0,4.0,1.0,4.0,11.0,539.0,0.947014597,0.8,0.225806452
0.0,1.0,7.0,1.0,94.0,9.0,1.0,4.0,11.0,528.0,0.791471167,1.0,0.406593407
0.0,1.0,6.0,1.0,90.0,7.0,1.0,1.0,13.0,831.0,0.877288237,0.906976744,0.277777778
0.0,1.0,2.0,1.0,91.0,4.0,1.0,3.0,11.0,181.0,0.966895189,0.857142857,0.111111111
0.0,1.0,4.0,1.0,87.0,5.0,1.0,1.0,18.0,455.0,0.954507016,0.90625,0.194444444
0.0,1.0,2.0,1.0,97.0,5.0,1.0,3.0,17.0,272.0,0.839527352,0.972222222,0.444444444
0.0,1.0,5.0,1.0,81.0,5.0,0.0,1.0,19.0,387.0,0.912999514,0.875,0.363636364
0.0,1.0,3.0,1.0,85.0,7.0,0.0,4.0,17.0,115.0,0.854568932,1.0,0.4375
0.0,1.0,5.0,1.0,80.0,9.0,0.0,0.0,12.0,253.0,0.932711161,0.764705882,0.0
0.0,1.0,2.0,1.0,82.0,7.0,1.0,0.0,12.0,213.0,0.934989899,0.714285714,0.0
0.0,1.0,7.0,1.0,86.0,9.0,0.0,4.0,15.0,595.0,0.912240503,0.8,0.111111111
0.0,1.0,6.0,1.0,87.0,9.0,0.0,4.0,14.0,445.0,0.86894404,0.916666667,0.476190476
0.0,1.0,2.0,1.0,82.0,3.0,1.0,3.0,11.0,192.0,0.947068711,0.64516129,0.0
0.0,1.0,4.0,1.0,99.0,8.0,0.0,3.0,10.0,185.0,0.933864752,1.0,0.1
0.0,1.0,4.0,1.0,81.0,8.0,1.0,0.0,17.0,459.0,0.883123166,0.953488372,0.378787879
0.0,1.0,6.0,1.0,92.0,9.0,1.0,4.0,16.0,628.0,0.928154021,0.882352941,0.0
0.0,1.0,6.0,1.0,85.0,3.0,0.0,3.0,14.0,540.0,0.966260309,0.9,0.1
0.0,1.0,4.0,1.0,84.0,4.0,1.0,2.0,11.0,350.0,0.9435469168000001,0.896551724,0.071428571
0.0,1.0,7.0,1.0,93.0,5.0,1.0,4.0,13.0,627.0,0.851458061,0.977272727,0.426666667
0.0,1.0,5.0,1.0,88.0,5.0,1.0,2.0,16.0,861.0,0.897388249,0.928571429,0.037037037
0.0,1.0,5.0,1.0,83.0,4.0,0.0,2.0,15.0,375.0,0.939685034,0.869565217,0.487179487
0.0,1.0,4.0,1.0,95.0,2.0,1.0,4.0,10.0,587.0,0.983825832,0.962962963,0.35
0.0,1.0,6.0,1.0,80.0,5.0,0.0,2.0,16.0,362.0,0.809994576,0.875,0.631578947
0.0,1.0,6.0,1.0,95.0,7.0,0.0,3.0,15.0,231.0,0.896234777,0.8125,0.235294118
0.0,1.0,5.0,1.0,84.0,8.0,1.0,3.0,18.0,563.0,0.867816272,0.965517241,0.50877193
0.0,1.0,6.0,1.0,98.0,5.0,1.0,2.0,14.0,603.0,0.92560273,0.87755102,0.12244898
0.0,1.0,6.0,1.0,91.0,6.0,0.0,1.0,14.0,285.0,0.858978421,0.875,0.666666667
0.0,1.0,6.0,1.0,88.0,5.0,0.0,1.0,19.0,295.0,0.927478452,1.0,0.588235294
0.0,1.0,7.0,1.0,93.0,7.0,1.0,4.0,19.0,463.0,0.852671193,0.984375,0.357142857
0.0,1.0,7.0,1.0,93.0,9.0,0.0,0.0,15.0,632.0,0.859257039,0.9,0.4375
0.0,1.0,3.0,1.0,99.0,7.0,1.0,0.0,17.0,226.0,0.803131706,0.817073171,0.247191011
0.0,1.0,4.0,1.0,80.0,2.0,0.0,3.0,12.0,249.0,0.990896322,0.888888889,0.0
0.0,1.0,5.0,1.0,94.0,2.0,1.0,2.0,17.0,497.0,0.969869034,0.931818182,0.397058824
0.0,1.0,4.0,1.0,85.0,1.0,0.0,0.0,19.0,232.0,0.947980638,1.0,0.5
0.0,1.0,2.0,1.0,90.0,5.0,0.0,3.0,14.0,108.0,0.943359233,0.891891892,0.083333333
0.0,1.0,6.0,1.0,80.0,2.0,1.0,4.0,16.0,479.0,0.984146371,0.880952381,0.051282051
0.0,1.0,4.0,1.0,81.0,6.0,0.0,0.0,14.0,202.0,0.950249102,0.941176471,0.272727273
0.0,1.0,4.0,1.0,83.0,9.0,0.0,0.0,12.0,216.0,0.85950823,0.904761905,0.269230769
0.0,1.0,2.0,1.0,84.0,4.0,0.0,0.0,11.0,160.0,0.925440564,0.9,0.4375
0.0,1.0,2.0,1.0,87.0,4.0,1.0,2.0,14.0,184.0,0.925987051,0.9375,0.224137931
0.0,1.0,3.0,1.0,82.0,3.0,0.0,4.0,17.0,242.0,0.928587306,1.0,0.444444444
0.0,1.0,2.0,1.0,81.0,5.0,0.0,0.0,15.0,127.0,0.898630243,0.916666667,0.12
0.0,1.0,6.0,1.0,87.0,1.0,0.0,2.0,10.0,355.0,0.962752525,0.866666667,0.071428571
0.0,1.0,7.0,1.0,97.0,4.0,1.0,1.0,15.0,529.0,0.977161868,0.693877551,0.0
0.0,1.0,6.0,1.0,82.0,8.0,0.0,0.0,10.0,243.0,0.91837343,0.882352941,0.166666667
0.0,1.0,4.0,1.0,81.0,1.0,0.0,1.0,15.0,174.0,0.970756897,0.733333333,0.0
0.0,1.0,7.0,1.0,85.0,7.0,0.0,4.0,17.0,396.0,0.904970617,0.909090909,0.230769231
0.0,1.0,3.0,1.0,97.0,5.0,0.0,4.0,18.0,200.0,0.9145414846000002,0.956521739,0.333333333
0.0,1.0,3.0,1.0,91.0,7.0,0.0,4.0,10.0,268.0,0.891909224,0.980769231,0.420454545
0.0,1.0,6.0,1.0,84.0,6.0,1.0,4.0,14.0,922.0,0.913038288,0.977777778,0.301587302
0.0,1.0,3.0,1.0,90.0,8.0,1.0,1.0,13.0,240.0,0.913924157,0.915492958,0.329896907
0.0,1.0,4.0,1.0,88.0,2.0,0.0,4.0,15.0,260.0,0.971764389,0.826086957,0.0
0.0,1.0,7.0,1.0,99.0,4.0,0.0,3.0,11.0,422.0,0.939165762,0.857142857,0.4
0.0,1.0,6.0,1.0,96.0,7.0,1.0,2.0,11.0,1030.0,0.91483766,0.9375,0.142857143
0.0,1.0,5.0,1.0,88.0,6.0,1.0,0.0,17.0,454.0,0.92875658,1.0,0.196428571
0.0,1.0,6.0,1.0,93.0,8.0,1.0,0.0,16.0,446.0,0.918226485,0.818181818,0.027027027
0.0,1.0,5.0,1.0,99.0,1.0,1.0,0.0,10.0,431.0,0.978515991,0.777777778,0.0
0.0,1.0,4.0,1.0,90.0,8.0,0.0,3.0,12.0,224.0,0.895448136,0.866666667,0.380952381
0.0,1.0,5.0,1.0,95.0,9.0,0.0,1.0,14.0,439.0,0.906009134,0.888888889,0.5
0.0,1.0,3.0,1.0,83.0,7.0,0.0,1.0,12.0,189.0,0.960045648,0.375,0.0
0.0,1.0,6.0,1.0,88.0,2.0,1.0,0.0,10.0,599.0,0.979854138,0.929824561,0.184615385
0.0,1.0,2.0,1.0,81.0,1.0,0.0,0.0,10.0,107.0,0.916575843,0.916666667,0.371428571
0.0,1.0,7.0,1.0,84.0,9.0,1.0,0.0,19.0,568.0,0.897629432,0.5,0.0
0.0,1.0,4.0,1.0,83.0,2.0,0.0,1.0,16.0,233.0,0.987620163,0.705882353,0.0
0.0,1.0,6.0,1.0,83.0,7.0,0.0,3.0,14.0,250.0,0.931429738,0.888888889,0.0
0.0,1.0,6.0,1.0,82.0,7.0,0.0,2.0,18.0,336.0,0.953942017,0.333333333,0.0
0.0,1.0,7.0,1.0,82.0,7.0,1.0,1.0,16.0,711.0,0.925466735,0.86,0.12244898
0.0,1.0,4.0,1.0,98.0,9.0,1.0,1.0,10.0,366.0,0.792763228,0.96969697,0.58974359
0.0,1.0,3.0,1.0,90.0,6.0,0.0,2.0,19.0,150.0,0.908804849,0.928571429,0.1875
0.0,1.0,2.0,1.0,99.0,2.0,1.0,3.0,12.0,168.0,0.951665377,0.94,0.483516484
0.0,1.0,7.0,1.0,82.0,7.0,1.0,2.0,19.0,854.0,0.866654025,0.859649123,0.3
0.0,1.0,2.0,1.0,94.0,6.0,1.0,0.0,10.0,224.0,0.957296876,0.59375,0.0
0.0,1.0,3.0,1.0,98.0,1.0,1.0,2.0,15.0,343.0,0.936349826,0.9375,0.423076923
0.0,1.0,3.0,1.0,80.0,8.0,1.0,3.0,16.0,265.0,0.8974113,0.930232558,0.215686275
0.0,1.0,6.0,1.0,93.0,5.0,1.0,0.0,18.0,577.0,0.869716105,0.918918919,0.276595745
0.0,1.0,5.0,1.0,83.0,1.0,0.0,0.0,16.0,316.0,0.975045868,0.694444444,0.0
0.0,1.0,2.0,1.0,93.0,6.0,1.0,3.0,15.0,212.0,0.926714233,0.8,0.047619048
0.0,1.0,7.0,1.0,82.0,9.0,1.0,3.0,16.0,476.0,0.8815776098000001,0.88372093,0.191489362
0.0,1.0,4.0,1.0,93.0,7.0,1.0,0.0,14.0,344.0,0.894038249,0.842105263,0.044776119
0.0,1.0,4.0,1.0,94.0,3.0,1.0,4.0,17.0,436.0,0.902162537,0.9125,0.396694215
0.0,1.0,5.0,1.0,80.0,7.0,0.0,2.0,18.0,328.0,0.889813342,0.833333333,0.444444444
0.0,1.0,4.0,1.0,85.0,6.0,1.0,2.0,18.0,351.0,0.916092938,0.902777778,0.21686747
0.0,1.0,2.0,1.0,81.0,3.0,0.0,3.0,18.0,135.0,0.810381786,0.888888889,0.466666667
0.0,1.0,6.0,1.0,81.0,2.0,0.0,2.0,18.0,393.0,0.989332328,0.714285714,0.0
0.0,1.0,5.0,1.0,80.0,7.0,0.0,4.0,18.0,367.0,0.815430211,1.0,0.555555556
0.0,1.0,5.0,1.0,81.0,5.0,1.0,1.0,16.0,332.0,0.891397956,0.75,0.0
0.0,1.0,5.0,1.0,86.0,6.0,1.0,2.0,18.0,594.0,0.896205842,0.96969697,0.573333333
0.0,1.0,5.0,1.0,98.0,5.0,0.0,0.0,12.0,319.0,0.859554497,1.0,0.448275862
0.0,1.0,7.0,1.0,82.0,5.0,1.0,2.0,11.0,513.0,0.922210909,0.905405405,0.082191781
0.0,1.0,2.0,1.0,91.0,7.0,1.0,1.0,14.0,158.0,0.898396683,0.773913043,0.212389381
0.0,1.0,4.0,1.0,80.0,6.0,0.0,1.0,19.0,165.0,0.906715477,0.909090909,0.473684211
0.0,1.0,6.0,1.0,84.0,2.0,1.0,1.0,10.0,655.0,0.981909034,0.84,0.363636364
0.0,1.0,4.0,1.0,81.0,1.0,1.0,0.0,14.0,301.0,0.947928159,0.956521739,0.305263158
0.0,1.0,4.0,1.0,99.0,4.0,0.0,2.0,18.0,286.0,0.980411526,1.0,0.222222222
0.0,1.0,6.0,1.0,98.0,5.0,1.0,4.0,19.0,542.0,0.935217412,0.944444444,0.291666667
