Loc+, Acap, Aexp, Arch, Cplx, Data, Docu, Flex, Ltex, Pcap, Pcon, Plex, Pmat, Prec, Pvol, Rely, Ruse, Sced, Site, Stor, Team, Time, Tool, Risk-, Effort-
335.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,6.0,5.0,4.0,2.0,5.0,2.0,4.0,5.0,6.0,5.0,5.0,9.0,3386.0
415.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,6.0,2.0,1.0,5.0,4.0,2.0,4.0,1.0,5.0,4.0,5.0,2605.0
577.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,1.0,4.0,5.0,6.0,2.0,10.0,26636.0
745.0,3.0,2.0,2.0,6.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,1.0,6.0,3.0,13.0,97057.0
527.0,4.0,4.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,0.0,4188.0
575.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,6.0,3.0,12.0,34757.0
235.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,6.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,4303.0
634.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,6.0,4.0,13.0,35087.0
1536.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,6.0,1.0,5.0,2.0,6.0,2.0,3.0,5.0,3.0,5.0,3.0,6.0,41260.0
1091.0,3.0,4.0,6.0,5.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,5.0,3.0,9.0,46412.0
1722.0,1.0,3.0,6.0,1.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,1.0,11.0,26504.0
252.0,2.0,2.0,3.0,2.0,3.0,4.0,6.0,2.0,4.0,3.0,5.0,6.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,0.0,1392.0
357.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,6.0,2.0,5.0,3.0,5.0,15517.0
496.0,2.0,1.0,5.0,4.0,3.0,1.0,2.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,6.0,5.0,3.0,4.0,8651.0
708.0,5.0,5.0,5.0,6.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,6.0,5.0,3.0,1.0,4.0,3.0,4.0,5.0,3.0,3.0,1.0,17.0,5136.0
1937.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,6.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,6.0,3.0,1.0,2.0,36931.0
1952.0,1.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,6.0,2.0,5.0,2.0,2.0,2.0,3.0,6.0,6.0,4.0,13.0,18094.0
1926.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,6.0,2.0,7.0,70237.0
1657.0,4.0,4.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,5.0,2.0,5.0,3.0,6.0,4.0,0.0,16758.0
1809.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,0.0,9627.0
638.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,6.0,3.0,4.0,2.0,9.0,11851.0
1255.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,3.0,6.0,2.0,3.0,4.0,4.0,6.0,5.0,6.0,22978.0
1588.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0,1.0,12.0,106404.0
1616.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,8.0,39773.0
1915.0,5.0,2.0,6.0,3.0,5.0,4.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,3.0,3.0,6.0,3.0,2.0,5.0,2.0,5.0,3.0,5.0,153371.0
518.0,2.0,5.0,2.0,1.0,4.0,2.0,6.0,4.0,5.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,8650.0
1605.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,2.0,5.0,4.0,4.0,3.0,12.0,80896.0
1076.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,2.0,6.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,6.0,3.0,7.0,24752.0
936.0,2.0,3.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,5.0,1.0,3.0,4.0,4.0,3.0,3.0,10275.0
599.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,6.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,4.0,1.0,6165.0
1758.0,1.0,5.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,28018.0
935.0,1.0,1.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,6.0,5.0,18.0,68148.0
1425.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,72319.0
1871.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,6.0,2.0,4.0,1.0,5.0,3.0,2.0,6.0,3.0,6.0,3.0,12.0,81445.0
1506.0,3.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,1.0,20433.0
1180.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,6.0,4.0,9.0,59223.0
1798.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,93757.0
888.0,2.0,3.0,4.0,6.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,5.0,5.0,5.0,16.0,14444.0
48.0,1.0,1.0,5.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,8.0,996.0
735.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,42973.0
1644.0,2.0,2.0,2.0,5.0,4.0,3.0,5.0,3.0,1.0,3.0,3.0,6.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,21.0,74244.0
719.0,3.0,4.0,3.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,1.0,4.0,3.0,4.0,27726.0
1966.0,1.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,5.0,1.0,4.0,5.0,3.0,5.0,1.0,3.0,5.0,3.0,4.0,5.0,6.0,3.0,6.0,62444.0
68.0,2.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,1079.0
1321.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,2.0,2.0,63046.0
1922.0,4.0,3.0,3.0,4.0,3.0,1.0,6.0,3.0,3.0,5.0,2.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,6.0,4.0,4.0,32494.0
1998.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,6.0,6.0,4.0,6.0,19424.0
629.0,3.0,2.0,6.0,5.0,4.0,5.0,6.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,1.0,4.0,2.0,1.0,14856.0
1143.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,1.0,5.0,3.0,1.0,75148.0
1396.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,6.0,4.0,3.0,6.0,5.0,5.0,4.0,7.0,70015.0
560.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,5.0,6.0,5.0,8.0,8152.0
728.0,3.0,4.0,6.0,3.0,2.0,3.0,3.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,5.0,2.0,3.0,1.0,8.0,17588.0
125.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,2.0,5.0,2.0,3.0,5.0,6.0,5.0,3.0,6.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,1132.0
1521.0,4.0,3.0,6.0,1.0,2.0,3.0,5.0,2.0,2.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,6.0,5.0,5.0,4819.0
947.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,6.0,6.0,2.0,25.0,62156.0
1556.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,0.0,20111.0
1606.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,4.0,3.0,2.0,5.0,3.0,3.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,41719.0
664.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,6.0,6.0,4.0,5.0,2.0,4.0,4.0,5.0,1.0,3.0,3.0,3.0,7388.0
138.0,3.0,2.0,2.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,2.0,6.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,6.0,3265.0
18.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,2.0,6.0,1.0,7.0,176.0
136.0,1.0,2.0,2.0,5.0,4.0,5.0,6.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,11.0,5365.0
1236.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,20601.0
1857.0,3.0,3.0,3.0,6.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,5.0,2.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,56044.0
1455.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,1.0,28975.0
989.0,4.0,4.0,3.0,4.0,5.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,24268.0
366.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,7809.0
663.0,2.0,2.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,8.0,31864.0
1613.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,8.0,38637.0
1995.0,5.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,0.0,26701.0
728.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,6.0,2.0,5.0,1.0,1.0,17342.0
625.0,4.0,1.0,6.0,3.0,5.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,3.0,3.0,3.0,20.0,28756.0
1000.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,6.0,5.0,3.0,4.0,2.0,5.0,5.0,1.0,18118.0
781.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,0.0,11870.0
1969.0,3.0,3.0,2.0,4.0,3.0,3.0,6.0,1.0,1.0,1.0,5.0,5.0,6.0,3.0,4.0,6.0,2.0,3.0,5.0,5.0,5.0,1.0,25.0,78780.0
407.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,6.0,3.0,4.0,5.0,3.0,5.0,3.0,1.0,9272.0
315.0,5.0,2.0,5.0,6.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4038.0
1648.0,2.0,4.0,3.0,4.0,4.0,2.0,6.0,3.0,3.0,1.0,5.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,4.0,4.0,4.0,9.0,45603.0
565.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,6.0,12212.0
1544.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,6.0,2.0,2.0,4.0,4.0,5.0,3.0,5.0,54189.0
252.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,6.0,2.0,3.0,4199.0
668.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,0.0,24580.0
1481.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,5.0,4.0,2.0,6.0,4.0,5.0,1.0,1.0,23416.0
1905.0,4.0,4.0,3.0,6.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,35048.0
1938.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,6.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,75465.0
1012.0,1.0,3.0,4.0,5.0,4.0,3.0,1.0,4.0,5.0,1.0,1.0,6.0,5.0,3.0,2.0,5.0,2.0,1.0,5.0,6.0,5.0,4.0,10.0,28380.0
641.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,6.0,3.0,9.0,11065.0
12.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,6.0,5.0,2.0,18.0,200.0
1133.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,4.0,1.0,4.0,2.0,3.0,3.0,5.0,2.0,6.0,4.0,4.0,5.0,6.0,5.0,1.0,7.0,33886.0
1206.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,0.0,56813.0
1033.0,5.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,6.0,1.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,5.0,0.0,29291.0
1013.0,1.0,4.0,5.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,5.0,4.0,1.0,12.0,24268.0
1427.0,4.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,0.0,20111.0
1271.0,2.0,3.0,4.0,6.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,6.0,5.0,1.0,5.0,3.0,5.0,3.0,7.0,27355.0
1617.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,1.0,40312.0
468.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,5.0,3.0,6.0,4995.0
24.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,0.0,78.0
1213.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,1.0,11916.0
271.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,5378.0
1454.0,3.0,3.0,5.0,2.0,5.0,1.0,2.0,3.0,5.0,4.0,4.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,6.0,4.0,5.0,1.0,6.0,21793.0
1106.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,6.0,5.0,2.0,13.0,86954.0
1489.0,5.0,2.0,3.0,5.0,5.0,4.0,6.0,4.0,5.0,1.0,2.0,4.0,4.0,3.0,1.0,5.0,2.0,1.0,4.0,2.0,5.0,2.0,6.0,48431.0
1502.0,3.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,78649.0
1234.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,6.0,4.0,3.0,2.0,20.0,42891.0
213.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3522.0
1517.0,2.0,1.0,5.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,6.0,89028.0
1709.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,6.0,3.0,6.0,33891.0
692.0,1.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,2.0,6.0,3.0,5.0,4.0,18.0,19488.0
260.0,5.0,1.0,2.0,5.0,3.0,4.0,6.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,12.0,11202.0
1320.0,5.0,3.0,3.0,6.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,5.0,4.0,3.0,11.0,29513.0
1845.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,5.0,2.0,2.0,4.0,6.0,1.0,3.0,5.0,4.0,5.0,3.0,4.0,59759.0
1707.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,5.0,4.0,2.0,0.0,52020.0
201.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,6.0,2.0,4.0,4.0,12.0,6764.0
1570.0,2.0,5.0,4.0,1.0,3.0,3.0,6.0,3.0,5.0,2.0,5.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,3.0,5.0,33856.0
1121.0,4.0,1.0,2.0,4.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,6.0,5.0,3.0,0.0,23002.0
1714.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,6.0,2.0,3.0,2.0,5.0,3.0,5.0,6.0,5.0,3.0,3.0,0.0,26367.0
1333.0,1.0,2.0,4.0,6.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,13.0,31921.0
382.0,3.0,3.0,5.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,6.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,2.0,5.0,3.0,1.0,2256.0
1642.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,6.0,3.0,2.0,48101.0
