LOC+, ACAP, AEXP-, ARCH, CPLX, DATA, DOCU, FLEX, LTEX, PCAP, PCON, PLEX-, PMAT, PREC, PVOL, RELY, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, RISK-, EFFORT-
1339.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,6.0,5.0,4.0,0.0,16332.0
259.0,3.0,1.0,4.0,6.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,6.0,3989.0
500.0,1.0,1.0,5.0,2.0,5.0,2.0,6.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,7.0,3677.0
974.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,5.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,29539.0
859.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,4992.0
581.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,6.0,2.0,2.0,5.0,5.0,6.0,5.0,4.0,33906.0
1707.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,3.0,6.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,11.0,132870.0
1349.0,2.0,1.0,3.0,3.0,4.0,4.0,6.0,2.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,23306.0
1155.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,3.0,6.0,5.0,4.0,1.0,6.0,44199.0
499.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,6.0,4.0,4.0,15375.0
809.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,5.0,3.0,1.0,5.0,2.0,1.0,5.0,3.0,5.0,3.0,10.0,19831.0
1293.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,22655.0
200.0,3.0,4.0,6.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,6.0,6.0,4.0,3.0,2.0,2.0,2.0,6.0,4.0,6.0,4.0,9.0,3699.0
660.0,5.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,6.0,4.0,3.0,0.0,9925.0
720.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0,2.0,6.0,27389.0
1030.0,2.0,2.0,6.0,2.0,5.0,4.0,6.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,1.0,4.0,3.0,4.0,2.0,11.0,38550.0
623.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,1.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,6.0,6.0,3.0,2.0,8533.0
639.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,5.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,7.0,26555.0
392.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,3.0,6.0,10414.0
779.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,0.0,9958.0
1567.0,4.0,2.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,1.0,2.0,1.0,5.0,3.0,6.0,3.0,3.0,3.0,5.0,4.0,3.0,8.0,29972.0
277.0,2.0,5.0,3.0,6.0,5.0,4.0,3.0,2.0,3.0,1.0,4.0,5.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,12.0,9181.0
618.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,6.0,1.0,9.0,17621.0
1231.0,3.0,3.0,3.0,3.0,3.0,1.0,6.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,0.0,5574.0
1674.0,1.0,3.0,4.0,3.0,5.0,5.0,2.0,1.0,2.0,4.0,2.0,5.0,5.0,3.0,2.0,6.0,3.0,1.0,5.0,3.0,3.0,3.0,11.0,192847.0
1341.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,5.0,3.0,6.0,2.0,2.0,6.0,2.0,2.0,4.0,2.0,6.0,3.0,2.0,9105.0
159.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,1.0,5.0,5.0,2.0,5.0,3.0,4.0,2.0,8.0,4024.0
598.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,0.0,8340.0
1122.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,6.0,2.0,3.0,52649.0
1779.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,1.0,4.0,1.0,10.0,94474.0
885.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,0.0,9488.0
813.0,5.0,1.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,6.0,5.0,3.0,6.0,4883.0
1129.0,3.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,25.0,86806.0
1735.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,2.0,5.0,1.0,6.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,40431.0
1062.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,6.0,4.0,3.0,6.0,5.0,3.0,6.0,6.0,4.0,1.0,19.0,34467.0
1920.0,3.0,2.0,6.0,3.0,4.0,3.0,2.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,43593.0
1394.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,48716.0
391.0,3.0,2.0,4.0,5.0,4.0,1.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,5.0,4.0,3.0,2.0,6.0,10362.0
1418.0,4.0,1.0,5.0,5.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,5.0,8.0,45029.0
1995.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,1.0,3.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,4.0,8.0,66751.0
1846.0,4.0,1.0,3.0,3.0,2.0,4.0,6.0,3.0,1.0,5.0,3.0,4.0,1.0,3.0,3.0,5.0,1.0,4.0,5.0,1.0,5.0,3.0,22.0,68529.0
1068.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,1.0,36402.0
277.0,2.0,4.0,6.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,6.0,6.0,5.0,3.0,7.0,7215.0
1997.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,1.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,0.0,22610.0
720.0,3.0,4.0,1.0,4.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,6.0,14003.0
1118.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,6.0,3.0,4.0,3.0,2.0,7309.0
1878.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,6.0,2.0,2.0,6.0,3.0,4.0,2.0,11.0,99179.0
730.0,1.0,3.0,6.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,1.0,9.0,13752.0
1380.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,6.0,4.0,4.0,16763.0
1486.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,5.0,3.0,5.0,6.0,3.0,3.0,4.0,0.0,9423.0
1950.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,6.0,2.0,5.0,5.0,8.0,22265.0
853.0,4.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,4839.0
1415.0,2.0,2.0,5.0,3.0,3.0,2.0,6.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,5.0,5.0,6.0,3.0,13.0,43106.0
529.0,1.0,3.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,8001.0
16.0,4.0,4.0,5.0,6.0,4.0,5.0,1.0,1.0,2.0,5.0,2.0,6.0,5.0,2.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,12.0,237.0
335.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,6.0,4.0,4.0,14526.0
1160.0,2.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,7.0,52056.0
130.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,1.0,2.0,3.0,3.0,4.0,2.0,6.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,1574.0
137.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,2.0,4.0,2204.0
77.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,6.0,1240.0
440.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,5536.0
683.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,5.0,1.0,6.0,9674.0
1880.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,6.0,1.0,4.0,2.0,15.0,72877.0
251.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,6.0,4.0,3.0,2.0,3.0,4.0,2.0,6.0,2.0,5.0,5.0,1.0,1420.0
1405.0,2.0,2.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,27666.0
1256.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,6.0,3.0,5.0,1.0,5.0,76644.0
840.0,2.0,3.0,6.0,6.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,1.0,3.0,4.0,3.0,4.0,2.0,17.0,24043.0
1625.0,4.0,2.0,5.0,3.0,3.0,3.0,6.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,4.0,20246.0
1754.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,6.0,4.0,5.0,34657.0
466.0,2.0,4.0,2.0,5.0,3.0,1.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,4.0,5.0,9.0,8341.0
729.0,4.0,2.0,2.0,6.0,3.0,4.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,8.0,24805.0
1251.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,6.0,3.0,3.0,3.0,6.0,4.0,2.0,6.0,2.0,4.0,2.0,2.0,65130.0
318.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,5.0,2.0,6.0,5.0,4.0,2.0,5.0,4.0,1.0,5.0,4.0,4.0,2.0,2.0,6371.0
931.0,2.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,11696.0
995.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,25095.0
482.0,4.0,1.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,4.0,12238.0
1959.0,2.0,3.0,5.0,2.0,4.0,2.0,6.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,1.0,4.0,2.0,5.0,2.0,18.0,123105.0
947.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,3.0,5.0,5.0,4.0,3.0,8.0,19382.0
1660.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,27106.0
1713.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,7.0,26845.0
414.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,6.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3428.0
1565.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,6.0,6.0,3.0,4.0,8.0,34450.0
324.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,6.0,4.0,3.0,5.0,6.0,6.0,3.0,9.0,2965.0
708.0,1.0,2.0,4.0,6.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0,5.0,3.0,23.0,44003.0
770.0,4.0,3.0,6.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,0.0,19782.0
1942.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,44272.0
1084.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,5.0,3.0,13.0,42749.0
1297.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,12.0,28667.0
1927.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,6.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,4.0,0.0,20304.0
596.0,4.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,5.0,4.0,1.0,6.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,10.0,21569.0
1674.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,6.0,3.0,4.0,6.0,1.0,5.0,4.0,12.0,96490.0
1445.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,6.0,3.0,4.0,29175.0
50.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,575.0
331.0,3.0,1.0,6.0,4.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,9847.0
146.0,5.0,2.0,2.0,6.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,6.0,5.0,3.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,3.0,7.0,4544.0
165.0,1.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,4.0,6.0,5.0,4.0,3.0,11.0,4622.0
93.0,5.0,2.0,6.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,2.0,1.0,6.0,3.0,5.0,2.0,4.0,2.0,5.0,3.0,5.0,5.0,3.0,496.0
1667.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,9.0,27057.0
654.0,1.0,2.0,3.0,4.0,5.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,17.0,69191.0
661.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,0.0,14042.0
308.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,3.0,3.0,3842.0
490.0,3.0,3.0,6.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,6.0,3.0,1.0,3756.0
688.0,1.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,6.0,3.0,2.0,4.0,1.0,5.0,3.0,14.0,43334.0
1702.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,1.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,1.0,6.0,2.0,10.0,38690.0
848.0,3.0,5.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,6.0,3.0,0.0,1802.0
60.0,2.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,5.0,617.0
1105.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,25459.0
227.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,6.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,0.0,6111.0
720.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,6.0,3.0,5.0,1.0,14.0,33528.0
1443.0,3.0,5.0,1.0,2.0,4.0,3.0,1.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,4.0,2.0,0.0,37680.0
1186.0,3.0,3.0,6.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,11705.0
503.0,2.0,2.0,3.0,6.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,6.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,4.0,3.0,7.0,9095.0
1096.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,2.0,4.0,3.0,3.0,4.0,1.0,5.0,29708.0
1160.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,45764.0
868.0,4.0,3.0,3.0,6.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,6.0,3.0,2.0,2.0,4672.0
642.0,1.0,4.0,2.0,6.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,6.0,5.0,4.0,2.0,16.0,16077.0
711.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,12.0,21711.0
1344.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,0.0,25836.0
775.0,5.0,4.0,2.0,6.0,3.0,3.0,5.0,1.0,4.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,15980.0
1051.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,4.0,1.0,3.0,1.0,4.0,5.0,3.0,4.0,5.0,3.0,1.0,5.0,6.0,4.0,1.0,12.0,52879.0
859.0,1.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,6.0,2.0,4.0,5.0,6.0,10842.0
1999.0,4.0,3.0,3.0,1.0,4.0,5.0,2.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,1.0,3.0,6.0,6.0,4.0,1.0,36304.0
1841.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,6.0,2.0,1.0,76798.0
