MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
120.5,-12.69,0.0,80.0,poisson,20.0,6.25,5.0
101.82,-1.72,0.0,110.0,absolute_error,10.0,4.5,15.0
120.33,-12.63,0.0,20.0,poisson,13.0,0.0,2.0
119.0,-12.1,0.0,40.0,squared_error,5.0,4.75,19.0
0.0,0.0,83.33333333,20.0,absolute_error,5.0,3.0,9.0
120.47,-12.68,0.0,100.0,squared_error,16.0,7.25,6.0
119.75,-12.4,0.0,80.0,squared_error,2.0,4.5,15.0
122.0,-13.25,0.0,10.0,poisson,14.0,1.25,18.0
119.73,-12.4,0.0,50.0,poisson,1.0,2.0,14.0
120.22,-12.59,0.0,60.0,squared_error,16.0,0.0,20.0
120.27,-12.6,0.0,150.0,poisson,20.0,1.75,5.0
118.85,-12.04,0.0,110.0,squared_error,9.0,1.5,4.0
116.67,-11.11,0.0,20.0,squared_error,9.0,8.25,18.0
0.0,0.0,83.33333333,10.0,absolute_error,5.0,7.5,18.0
120.16,-12.56,0.0,170.0,squared_error,20.0,9.25,13.0
0.0,0.0,83.33333333,91.0,absolute_error,11.0,5.25,20.0
119.74,-12.4,0.0,130.0,poisson,15.0,9.25,11.0
121.2,-12.96,0.0,50.0,poisson,2.0,9.75,5.0
120.67,-12.76,0.0,10.0,squared_error,10.0,6.75,2.0
121.78,-13.17,0.0,30.0,squared_error,3.0,1.25,11.0
119.37,-12.25,0.0,170.0,squared_error,13.0,0.0,7.0
119.29,-12.22,0.0,170.0,poisson,8.0,3.5,15.0
120.67,-12.76,0.0,150.0,poisson,12.0,7.75,9.0
0.0,0.0,83.33333333,150.0,absolute_error,4.0,1.25,2.0
0.0,0.0,83.33333333,90.0,absolute_error,18.0,5.5,5.0
119.0,-12.1,0.0,140.0,poisson,2.0,8.75,17.0
0.0,0.0,83.33333333,50.0,absolute_error,15.0,0.0,11.0
119.33,-12.24,0.0,110.0,poisson,2.0,8.75,18.0
120.75,-12.79,0.0,106.0,poisson,12.0,8.5,3.0
118.67,-11.97,0.0,80.0,squared_error,4.0,2.5,11.0
100.83,-0.81,0.0,120.0,absolute_error,12.0,7.5,13.0
120.77,-12.8,0.0,130.0,poisson,15.0,9.0,15.0
0.0,0.0,83.33333333,30.0,absolute_error,10.0,4.75,8.0
117.7,-11.56,0.0,90.0,poisson,10.0,7.75,15.0
119.49,-12.3,0.0,130.0,squared_error,4.0,6.0,16.0
118.76,-12.0,0.0,70.0,poisson,12.0,4.969980496688964,15.0
120.67,-12.76,0.0,20.0,squared_error,13.0,3.75,10.0
124.22,-14.03,0.0,30.0,squared_error,4.0,2.5,14.0
121.21,-12.96,0.0,110.0,squared_error,6.0,1.25,11.0
120.31,-12.62,0.0,170.0,poisson,1.0,3.5,10.0
121.6,-13.11,0.0,150.0,squared_error,10.0,8.5,18.0
120.22,-12.59,0.0,90.0,squared_error,3.0,6.75,9.0
0.0,0.0,83.33333333,140.0,absolute_error,6.0,1.5,4.0
120.77,-12.8,0.0,200.0,poisson,6.0,9.25,2.0
119.7,-12.38,0.0,110.0,poisson,19.0,0.5,15.0
119.86,-12.44,0.0,140.0,poisson,15.0,6.0,20.0
120.56,-12.72,0.0,190.0,squared_error,17.0,7.25,15.0
0.0,0.0,83.33333333,100.0,absolute_error,13.0,5.089563834279331,15.0
120.19,-12.57,0.0,70.0,poisson,15.0,4.25,3.0
0.0,0.0,83.33333333,120.0,absolute_error,16.0,4.75,19.0
0.0,0.0,83.33333333,130.0,absolute_error,14.0,9.75,10.0
120.0,-12.5,0.0,120.0,poisson,19.0,0.25,10.0
119.73,-12.4,0.0,150.0,squared_error,10.0,4.5,2.0
120.72,-12.78,0.0,130.0,poisson,4.0,2.0,7.0
0.0,0.0,83.33333333,30.0,absolute_error,20.0,0.25,11.0
123.0,-13.61,0.0,20.0,poisson,3.0,1.0,17.0
123.56,-13.8,0.0,30.0,squared_error,15.0,4.0,12.0
119.89,-12.46,0.0,60.0,poisson,15.0,5.25,17.0
122.0,-13.25,0.0,40.0,poisson,1.0,7.0,17.0
120.85,-12.83,0.0,180.0,poisson,8.0,4.25,20.0
0.0,0.0,83.33333333,120.0,absolute_error,20.0,9.75,11.0
121.43,-13.04,0.0,140.0,poisson,8.0,1.25,9.0
0.0,0.0,83.33333333,50.0,absolute_error,20.0,4.25,2.0
118.96,-12.09,0.0,90.0,poisson,6.0,7.75,2.0
0.0,0.0,83.33333333,70.0,absolute_error,18.0,7.25,4.0
120.11,-12.54,0.0,60.0,poisson,20.0,4.949991864800962,2.0
117.67,-11.55,0.0,20.0,squared_error,2.0,9.75,10.0
0.0,0.0,83.33333333,120.0,absolute_error,11.0,7.0,5.0
118.37,-11.85,0.0,160.0,squared_error,6.0,1.75,13.0
119.67,-12.37,0.0,60.0,squared_error,19.0,7.0,14.0
0.0,0.0,83.33333333,100.0,absolute_error,9.0,2.75,19.0
118.77,-12.01,0.0,130.0,poisson,20.0,6.0,19.0
119.54,-12.32,0.0,130.0,squared_error,19.0,9.25,19.0
120.07,-12.53,0.0,100.0,squared_error,13.0,4.0,18.0
119.22,-12.19,0.0,180.0,squared_error,4.0,5.020555244634656,3.0
119.83,-12.43,0.0,120.0,poisson,11.0,2.5,5.0
119.53,-12.31,0.0,170.0,squared_error,17.0,7.0,13.0
101.58,-1.51,0.0,190.0,absolute_error,19.0,6.0,5.0
120.7,-12.77,0.0,180.0,squared_error,2.0,8.0,9.0
0.0,0.0,83.33333333,120.0,absolute_error,17.0,5.75,11.0
100.83,-0.81,0.0,120.0,absolute_error,6.0,9.25,6.0
120.57,-12.72,0.0,200.0,squared_error,15.0,6.25,15.0
133.57,-10.76,16.66666667,140.0,squared_error,1.0,0.0,17.0
119.47,-12.29,0.0,100.0,poisson,11.0,8.5,10.0
119.63,-12.35,0.0,90.0,poisson,20.0,4.963760758722539,6.0
117.0,-11.26,0.0,60.0,poisson,11.0,8.25,10.0
118.38,-11.85,0.0,70.0,squared_error,6.0,9.75,13.0
122.22,-13.33,0.0,60.0,squared_error,8.0,6.75,19.0
100.56,-0.55,0.0,180.0,absolute_error,7.0,8.75,16.0
121.41,-13.04,0.0,90.0,squared_error,8.0,5.75,15.0
120.96,-12.87,0.0,90.0,squared_error,17.0,3.5,18.0
120.73,-12.78,0.0,105.0,poisson,2.0,7.5,17.0
122.0,-13.25,0.0,120.0,poisson,9.0,5.25,2.0
119.89,-12.46,0.0,190.0,squared_error,2.0,4.5,4.0
135.5,-7.56,16.66666667,100.0,absolute_error,1.0,0.0,11.0
110.0,-7.69,0.0,10.0,absolute_error,6.0,4.0,2.0
0.0,0.0,83.33333333,70.0,absolute_error,11.0,5.0,11.0
118.19,-11.77,0.0,70.0,squared_error,3.0,0.75,19.0
119.62,-12.35,0.0,140.0,squared_error,4.0,6.75,13.0
118.28,-11.81,0.0,190.0,squared_error,9.0,2.25,7.0
120.27,-12.6,0.0,150.0,squared_error,16.0,6.5,11.0
121.67,-13.13,0.0,120.0,squared_error,4.0,3.0,12.0
119.5,-12.3,0.0,160.0,squared_error,11.0,5.5,19.0
119.94,-12.48,0.0,120.0,poisson,4.0,5.5,15.0
119.45,-12.28,0.0,110.0,poisson,7.0,5.25,18.0
119.62,-12.35,0.0,70.0,squared_error,13.0,1.75,14.0
101.54,-1.47,0.0,130.0,absolute_error,6.0,0.75,9.0
120.67,-12.76,0.0,180.0,poisson,13.0,8.75,5.0
118.58,-11.93,0.0,160.0,squared_error,3.0,9.5,1.0
0.0,0.0,83.33333333,110.0,absolute_error,4.0,9.0,3.0
121.56,-13.09,0.0,105.0,squared_error,12.0,5.5,5.0
120.43,-12.67,0.0,140.0,squared_error,2.0,4.0,2.0
119.05,-12.12,0.0,70.0,poisson,12.0,1.25,16.0
100.59,-0.58,0.0,170.0,absolute_error,20.0,0.75,19.0
117.7,-11.56,0.0,90.0,squared_error,20.0,3.5,19.0
120.52,-12.7,0.0,106.0,poisson,5.0,7.5,10.0
0.0,0.0,83.33333333,93.0,absolute_error,17.0,6.75,3.0
120.28,-12.61,0.0,105.0,poisson,14.0,4.0,10.0
120.73,-12.78,0.0,200.0,squared_error,9.0,5.5,12.0
120.33,-12.63,0.0,20.0,squared_error,3.0,1.5,7.0
121.39,-13.03,0.0,120.0,squared_error,12.0,6.5,10.0
101.0,-0.97,0.0,135.0,absolute_error,16.0,1.25,3.0
122.67,-13.49,0.0,10.0,poisson,5.0,9.0,4.0
120.44,-12.67,0.0,60.0,squared_error,2.0,5.25,3.0
120.16,-12.56,0.0,170.0,squared_error,12.0,0.25,17.0
0.0,0.0,83.33333333,200.0,absolute_error,6.0,5.0,3.0
120.24,-12.59,0.0,170.0,squared_error,13.0,4.976661193620944,9.0
100.56,-0.55,0.0,180.0,absolute_error,1.0,9.25,5.0
121.0,-12.88,0.0,140.0,squared_error,9.0,1.25,10.0
101.11,-0.81,0.0,180.0,absolute_error,5.0,0.25,14.0
0.0,0.0,83.33333333,130.0,absolute_error,8.0,1.5,6.0
121.87,-13.2,0.0,50.0,poisson,19.0,7.5,11.0
121.67,-13.13,0.0,100.0,squared_error,12.0,1.25,11.0
117.07,-11.29,0.0,50.0,squared_error,13.0,9.75,17.0
121.05,-12.9,0.0,70.0,poisson,1.0,5.75,10.0
121.76,-13.17,0.0,170.0,poisson,8.0,8.25,9.0
100.77,-0.75,0.0,130.0,absolute_error,15.0,5.109715066306774,1.0
120.27,-12.6,0.0,100.0,poisson,20.0,5.5,14.0
119.33,-12.24,0.0,50.0,poisson,5.0,7.75,6.0
0.0,0.0,83.33333333,10.0,absolute_error,18.0,9.5,4.0
116.67,-11.11,0.0,10.0,poisson,15.0,6.25,10.0
0.0,0.0,83.33333333,20.0,absolute_error,5.0,8.5,19.0
122.0,-13.25,0.0,10.0,poisson,15.0,10.0,12.0
0.0,0.0,83.33333333,100.0,absolute_error,19.0,5.75,18.0
120.44,-12.67,0.0,60.0,poisson,18.0,10.0,8.0
121.24,-12.97,0.0,70.0,squared_error,10.0,1.0,10.0
0.0,0.0,83.33333333,70.0,absolute_error,17.0,2.0,17.0
120.0,-12.5,0.0,140.0,poisson,2.0,9.5,3.0
101.43,-1.37,0.0,140.0,absolute_error,5.0,7.25,15.0
120.67,-12.76,0.0,60.0,poisson,14.0,8.25,12.0
101.43,-1.37,0.0,140.0,absolute_error,2.0,8.5,4.0
0.0,0.0,83.33333333,120.0,absolute_error,18.0,3.25,11.0
119.52,-12.31,0.0,140.0,poisson,2.0,1.25,9.0
119.19,-12.18,0.0,140.0,squared_error,9.0,1.75,13.0
120.63,-12.74,0.0,190.0,squared_error,13.0,8.75,4.0
123.56,-13.8,0.0,60.0,poisson,20.0,1.75,17.0
101.88,-1.78,0.0,160.0,absolute_error,3.0,2.25,16.0
119.07,-12.13,0.0,50.0,squared_error,20.0,0.75,19.0
120.81,-12.81,0.0,106.0,squared_error,13.0,5.75,4.0
120.55,-12.71,0.0,170.0,poisson,18.0,8.5,10.0
120.1,-12.54,0.0,200.0,poisson,10.0,9.75,13.0
120.37,-12.64,0.0,90.0,squared_error,13.0,9.5,20.0
0.0,0.0,83.33333333,60.0,absolute_error,12.0,8.75,3.0
125.33,-14.39,0.0,10.0,poisson,10.0,6.5,11.0
118.67,-11.97,0.0,40.0,squared_error,6.0,7.5,1.0
116.0,-10.81,0.0,110.0,squared_error,17.0,6.0,11.0
0.0,0.0,83.33333333,160.0,absolute_error,5.0,5.0,2.0
0.0,0.0,83.33333333,20.0,absolute_error,20.0,9.5,13.0
115.33,-10.5,0.0,10.0,squared_error,3.0,5.25,1.0
120.06,-12.52,0.0,105.0,squared_error,16.0,2.25,16.0
117.47,-11.46,0.0,108.0,poisson,10.0,3.0,15.0
125.48,-15.91,0.0,97.0,poisson,2.0,0.0,12.0
0.0,0.0,83.33333333,180.0,absolute_error,19.0,2.0,3.0
105.0,-4.35,0.0,20.0,absolute_error,4.0,3.5,18.0
124.67,-14.18,0.0,10.0,poisson,14.0,8.25,15.0
121.37,-13.02,0.0,180.0,poisson,13.0,2.5,18.0
100.91,-0.88,0.0,110.0,absolute_error,20.0,10.0,18.0
0.0,0.0,83.33333333,10.0,absolute_error,11.0,9.0,14.0
0.0,0.0,83.33333333,94.0,absolute_error,8.0,1.25,1.0
120.0,-12.5,0.0,90.0,squared_error,20.0,1.0,7.0
120.77,-12.8,0.0,200.0,squared_error,9.0,8.5,14.0
0.0,0.0,83.33333333,180.0,absolute_error,3.0,1.25,4.0
0.0,0.0,83.33333333,150.0,absolute_error,7.0,9.0,13.0
119.33,-12.24,0.0,10.0,squared_error,5.0,9.0,11.0
120.48,-12.68,0.0,70.0,squared_error,6.0,9.25,18.0
118.98,-12.09,0.0,108.0,poisson,3.0,2.5,3.0
120.08,-12.53,0.0,80.0,squared_error,2.0,4.5,1.0
119.56,-12.32,0.0,30.0,poisson,18.0,0.75,11.0
120.81,-12.81,0.0,90.0,poisson,2.0,1.75,18.0
120.33,-12.63,0.0,20.0,poisson,4.0,1.5,17.0
117.6,-11.52,0.0,50.0,squared_error,9.0,0.75,20.0
120.67,-12.76,0.0,160.0,squared_error,20.0,4.25,15.0
120.18,-12.57,0.0,110.0,poisson,20.0,2.25,4.0
0.0,0.0,83.33333333,40.0,absolute_error,7.0,7.0,18.0
120.2,-12.58,0.0,170.0,poisson,1.0,3.0,16.0
120.22,-12.59,0.0,60.0,squared_error,11.0,7.5,15.0
119.64,-12.36,0.0,130.0,squared_error,4.0,0.25,10.0
0.0,0.0,83.33333333,200.0,absolute_error,3.0,6.5,9.0
0.0,0.0,83.33333333,50.0,absolute_error,1.0,9.75,13.0
120.78,-12.8,0.0,60.0,poisson,4.0,6.5,1.0
100.77,-0.75,0.0,130.0,absolute_error,16.0,5.25,19.0
120.61,-12.74,0.0,120.0,squared_error,4.0,5.5,8.0
119.56,-12.32,0.0,180.0,poisson,3.0,8.0,7.0
119.67,-12.37,0.0,108.0,squared_error,2.0,5.75,3.0
121.19,-12.95,0.0,140.0,squared_error,17.0,6.5,2.0
119.07,-12.13,0.0,150.0,squared_error,18.0,7.75,1.0
0.0,0.0,83.33333333,90.0,absolute_error,11.0,4.0,8.0
118.06,-11.71,0.0,120.0,squared_error,20.0,9.75,2.0
118.31,-11.82,0.0,150.0,poisson,14.0,8.75,10.0
0.0,0.0,83.33333333,120.0,absolute_error,17.0,8.75,2.0
118.0,-11.69,0.0,20.0,poisson,17.0,2.75,7.0
0.0,0.0,83.33333333,120.0,absolute_error,14.0,3.5,4.0
121.0,-12.88,0.0,20.0,poisson,16.0,9.25,20.0
119.5,-12.3,0.0,40.0,squared_error,9.0,2.5,20.0
119.47,-12.29,0.0,50.0,squared_error,18.0,0.5,8.0
0.0,0.0,83.33333333,150.0,absolute_error,17.0,7.25,15.0
0.0,0.0,83.33333333,93.0,absolute_error,12.0,7.5,8.0
121.16,-12.94,0.0,150.0,poisson,6.0,5.0,7.0
119.94,-12.48,0.0,120.0,poisson,4.0,8.25,1.0
0.0,0.0,83.33333333,140.0,absolute_error,20.0,0.0,12.0
120.8,-12.81,0.0,50.0,poisson,15.0,4.25,5.0
122.0,-13.25,0.0,60.0,poisson,5.0,2.25,5.0
119.4,-12.26,0.0,100.0,squared_error,14.0,4.75,16.0
101.33,-1.28,0.0,150.0,absolute_error,10.0,4.5,2.0
0.0,0.0,83.33333333,190.0,absolute_error,10.0,5.25,10.0
100.53,-0.52,0.0,190.0,absolute_error,6.0,5.5,10.0
123.67,-13.84,0.0,40.0,poisson,19.0,4.801681857823834,12.0
119.92,-12.47,0.0,80.0,poisson,17.0,9.0,15.0
100.71,-0.7,0.0,136.0,absolute_error,11.0,7.0,9.0
0.0,0.0,83.33333333,70.0,absolute_error,18.0,7.5,12.0
0.0,0.0,83.33333333,110.0,absolute_error,2.0,6.75,7.0
120.06,-12.52,0.0,110.0,squared_error,9.0,4.75,6.0
120.49,-12.69,0.0,150.0,poisson,9.0,3.25,16.0
121.33,-13.01,0.0,90.0,poisson,13.0,9.25,3.0
0.0,0.0,83.33333333,20.0,absolute_error,16.0,10.0,4.0
0.0,0.0,83.33333333,120.0,absolute_error,16.0,9.5,19.0
120.51,-12.7,0.0,170.0,poisson,3.0,8.25,15.0
0.0,0.0,83.33333333,30.0,absolute_error,14.0,0.75,20.0
119.7,-12.38,0.0,110.0,squared_error,8.0,4.979987090491356,11.0
119.33,-12.24,0.0,110.0,poisson,9.0,3.5,20.0
120.82,-12.82,0.0,130.0,squared_error,13.0,0.0,6.0
118.78,-12.01,0.0,170.0,poisson,8.0,7.5,16.0
119.29,-12.22,0.0,160.0,poisson,11.0,6.75,19.0
0.0,0.0,83.33333333,130.0,absolute_error,6.0,6.75,7.0
118.67,-11.97,0.0,100.0,poisson,5.0,1.75,3.0
121.5,-13.07,0.0,80.0,poisson,14.0,2.75,11.0
120.55,-12.71,0.0,110.0,squared_error,9.0,4.25,18.0
120.12,-12.55,0.0,160.0,squared_error,14.0,6.75,15.0
120.56,-12.72,0.0,130.0,squared_error,10.0,1.5,8.0
120.96,-12.87,0.0,180.0,squared_error,8.0,1.5,20.0
100.67,-0.65,0.0,150.0,absolute_error,18.0,8.5,19.0
0.0,0.0,83.33333333,20.0,absolute_error,18.0,5.088654391962526,8.0
121.0,-12.88,0.0,80.0,poisson,10.0,0.5,11.0
122.25,-13.34,0.0,80.0,poisson,7.0,9.75,13.0
101.0,-0.97,0.0,200.0,absolute_error,17.0,8.0,20.0
121.8,-13.18,0.0,170.0,poisson,11.0,7.75,16.0
120.5,-12.69,0.0,160.0,poisson,7.0,7.75,6.0
120.28,-12.61,0.0,190.0,squared_error,8.0,4.987261707871346,4.0
0.0,0.0,83.33333333,40.0,absolute_error,20.0,8.5,12.0
100.5,-0.49,0.0,200.0,absolute_error,13.0,8.25,14.0
121.85,-13.2,0.0,130.0,poisson,13.0,7.25,11.0
121.02,-12.89,0.0,150.0,squared_error,20.0,4.75,13.0
120.33,-12.63,0.0,40.0,squared_error,13.0,5.5,19.0
118.92,-12.07,0.0,80.0,squared_error,12.0,8.5,11.0
118.67,-11.97,0.0,20.0,poisson,5.0,7.0,11.0
0.0,0.0,83.33333333,160.0,absolute_error,18.0,8.5,4.0
119.82,-12.43,0.0,150.0,squared_error,14.0,2.75,3.0
0.0,0.0,83.33333333,93.0,absolute_error,6.0,1.25,6.0
119.06,-12.13,0.0,106.0,squared_error,14.0,4.0,18.0
120.24,-12.59,0.0,170.0,squared_error,3.0,4.96394148101448,15.0
121.06,-12.91,0.0,170.0,poisson,17.0,9.0,17.0
100.83,-0.81,0.0,120.0,absolute_error,10.0,1.0,11.0
119.59,-12.34,0.0,130.0,poisson,9.0,2.25,4.0
100.56,-0.55,0.0,180.0,absolute_error,12.0,2.5,1.0
118.67,-11.97,0.0,70.0,poisson,9.0,2.25,18.0
0.0,0.0,83.33333333,130.0,absolute_error,8.0,5.0,5.0
119.33,-12.24,0.0,40.0,poisson,4.0,6.0,14.0
120.33,-12.63,0.0,20.0,poisson,11.0,2.0,5.0
0.0,0.0,83.33333333,180.0,absolute_error,14.0,1.25,5.0
122.27,-13.35,0.0,102.0,poisson,16.0,1.0,17.0
0.0,0.0,83.33333333,80.0,absolute_error,8.0,0.5,20.0
120.5,-12.69,0.0,40.0,squared_error,9.0,0.25,4.0
117.78,-11.59,0.0,30.0,squared_error,6.0,5.75,5.0
120.21,-12.58,0.0,160.0,squared_error,13.0,2.0,7.0
120.84,-12.82,0.0,104.0,poisson,7.0,1.75,15.0
0.0,0.0,83.33333333,170.0,absolute_error,6.0,0.0,1.0
121.18,-12.95,0.0,130.0,poisson,13.0,4.0,17.0
117.0,-11.26,0.0,20.0,squared_error,8.0,5.0337825840995105,17.0
119.79,-12.42,0.0,160.0,poisson,14.0,3.0,17.0
120.1,-12.54,0.0,70.0,squared_error,17.0,8.0,11.0
121.07,-12.91,0.0,150.0,squared_error,8.0,2.25,1.0
120.3,-12.62,0.0,90.0,poisson,11.0,10.0,12.0
119.33,-12.24,0.0,90.0,poisson,2.0,1.25,14.0
120.44,-12.67,0.0,30.0,squared_error,5.0,9.75,10.0
120.22,-12.59,0.0,120.0,poisson,18.0,0.25,1.0
0.0,0.0,83.33333333,10.0,absolute_error,11.0,0.5,11.0
120.36,-12.64,0.0,150.0,poisson,10.0,4.0,9.0
101.11,-1.08,0.0,180.0,absolute_error,4.0,10.0,9.0
121.38,-13.02,0.0,150.0,poisson,4.0,4.9105291868496215,7.0
0.0,0.0,83.33333333,90.0,absolute_error,17.0,8.75,4.0
119.7,-12.38,0.0,110.0,poisson,7.0,8.25,13.0
101.43,-1.37,0.0,140.0,absolute_error,4.0,8.75,7.0
0.0,0.0,83.33333333,150.0,absolute_error,18.0,3.25,2.0
120.0,-12.5,0.0,105.0,poisson,12.0,8.5,19.0
